,Class #,Subject,Cat#,Sect#,Course Name,Crdt,Hrs,Instructor,Enr Cap,Days,Time Start,Time End,Room #,Zoom Links
5,16805,EEEE,497,600,Senior Design I,3,3,Osama Abdulrahman,15,TR,4:30 AM,5:50 PM,,
5,16851,EEEE,498,600,Senior Design II,3,3,Osama Abdulrahman,15,TR,4:30 AM,5:50 PM,,
,16729,EEEE,499,600,Coop,0,N/A,Amer,999,N/A,N/A,N/A,,
,16730,EEEE,499,601,Coop,0,N/A,Ismail,999,N/A,N/A,N/A,,
,16731,EEEE,499,602,Coop,0,N/A,Tlili,999,N/A,N/A,N/A,,
,16732,EEEE,499,603,Coop,0,N/A,Mounsef,999,N/A,N/A,N/A,,
Energy/EE PE,16972,EEEE,524,600,Advances in Power Systems,3,3,Ismail,15,R,6:00 PM,8:50 PM,,
EE PE,16861,EEEE,547,600,AI Explorations,3,3,Mounsef,30,W,6:00 PM,8:50 PM,,
,,,,,MS ELECTRICAL ENGINEERING,,,,,,,,,
EE PE,16862,EEEE,647,600,AI Explorations,3,3,Mounsef,30,W,6:00 PM,8:50 PM,,
,16973,EEEE,624,600,Advances in Power Systems,3,3,Ismail,15,R,6:00 PM,8:50 PM,,
Cntr/EE PE,16883,EEEE,661,600,Modern Control Theory,3,3,Ismail,30,T,6:00 PM,8:50 PM,,
Core,16809,EEEE,707,600,Engineering Analysis,3,3,Tlili,15,M,6:00 PM,8:50 PM,,
,16733,EEEE,790,600,Thesis,0-6,N/A,Amer,32,N/A,N/A,N/A,,
,16734,EEEE,790,601,Thesis,0-6,N/A,Ismail,32,N/A,N/A,N/A,,
,16735,EEEE,790,602,Thesis,0-6,N/A,Mounsef,32,N/A,N/A,N/A,,
,16978,EEEE,791,600,Continuation of Thesis,1,N/A,Ismail,1,N/A,N/A,N/A,,
,16736,EEEE,792,600,Graduate Paper,0-3,N/A,Amer,32,N/A,N/A,N/A,,
,16737,EEEE,792,601,Graduate Paper,0-3,N/A,Ismail,32,N/A,N/A,N/A,,
,16738,EEEE,792,602,Graduate Paper,0-3,N/A,Tlili,32,N/A,N/A,N/A,,
,17062,EEEE,792,603,Graduate Paper,0-3,N/A,Tlili,32,N/A,N/A,N/A,,
,,,,,INDUSTRIAL ENGINEERING,,,,,,,,,
,16740,ISEE,120,600,Fund of Industrial Engineering,3,3,Weraikat,30,MWF,9:00 AM,9:55 AM,,
,17037,ISEE,140,600,Materials Processing,3,1,Imran,30,M,10:05 AM,11:00 AM,,
,17037,"""","""",,Mat Proc Studio,,3,Daneji,30,TR,4:30 PM,5:50 PM,,
,17038,"""","""",60L1,Mat Proc Workshop 1,,3,Daneji,15,T,10:30 AM,1:20 PM,,
,17039,"""","""",60L2,Mat Proc Workshop 2,,3,Daneji,15,R,1:30 PM,4:20 PM,,
"2, GE",17531,ISEE,345,600,Engineering Economy,3,3,Imran,30,MW,2:35 PM,4:25 PM,,
4,16742,ISEE,420,600,Production Planning & Scheduling,3,3,Weraikat,30,MW,11:10 AM,12:05 PM,,
,16853,ISEE,497,600,Senior Design I,3,3,Ali,30,R,2:35 PM,5:25 PM,,
,16889,ISEE,498,600,Senior Design II,3,3,Ali,30,T,9:00 AM,11:50 AM,,
,16823,ISEE,499,600,Coop,0,NA,TBD,100,TBD,TBD,TBD,,
,16940,ISEE,499,601,Coop,0,NA,Weraikat,100,,TBD,TBD,,
4,16743,ISEE,510,600,Systems Simulation,3,3,Imran,28,T,12:00 PM,12:55 PM,,
,16743,"""","""",600,Systems Simulation LAB,,2,Imran,,R,12:00 PM,1:50 PM,,
4,16744,ISEE,560,600,Statistical Quality Control,3,3,Gore,30,TR,9:00 AM,10:20 AM,,
4,16745,ISEE,561,600,Linear Regression Analysis,3,3,Weraikat,30,TR,3:00 PM,4:20 PM,,
,,,,,ME ENGINEERING MNGMT,,,,,,,,,
,17574,ISEE,703,600,Supply Chain Management,3,3,Imran,30,W,6:00 PM,8:50 PM,,
Tech/Mgmt/IE PE,16864,ISEE,720,600,Production Control,3,3,Weraikat,30,T,6:00 PM,8:50 PM,,
Core/IE PE A,16746,ISEE,750,600,Systems and Project Mgmt,3,3,Gore,30,M,6:00 PM,8:50 PM,,
Core/IE PE A,16747,ISEE,771,600,Engineering of Systems I,3,3,Gore,30,R,6:00 PM,8:50 PM,,
,16748,ISEE,792,600,Engineering Capstone,3,,TBD,Registration by approval,,,,,
,16817,ISEE,792,601,Engineering Capstone,3,,TBD,Registration by approval,,,,,
,17098,ISEE,792,602,Engineering Capstone,3,,TBD,Registration by approval,,,,,
,,,,,MECHANICAL ENGINEERING,,,,,,,,,
2,16749,MECE,103,600,Statics,3,3,Abdulrahman,30,MW,8:40 AM,10:00 AM,,
,16976,MECE,103,601,Statics,3,3,Abdulrahman,30,MW,4:05 PM,5:25 PM,,
1,16750,MECE,104,600,Engineering Design Tools,3,1,Pervaiz,30,M,9:00 AM,9:55 AM,,
1,16751,MECE,104,601,Engineering Design Tools,3,1,Pervaiz,30,M,2:35 PM,3:30 PM,,
,17526,MECE,104,602,Engineering Design Tools,3,1,Pervaiz,30,W,9:00 AM,9:55 AM,,
1,,"""","""",,EDT Studio 1,,3,Daneji,30,MW,4:05 PM,5:25 PM,,
,,"""","""",,EDT Studio 2,,3,Daneji,30,TR,1:30 PM,2:50 PM,,
1,,"""","""",,EDT Studio 3,,3,Daneji,30,TR,9:00 AM,10:20 AM,,
1,16752,"""","""",60L1,EDT-Workshop 1,,3,Ali,20,T,3:00 PM,5:50 PM,,
1,16753,"""","""",60L2,EDT-Workshop 2,,3,Ali,20,W,1:05 PM,3:55 PM,,
1,16754,"""","""",60L3,EDT-Workshop 3,,3,Ali,20,R,10:30 AM,1:20 PM,,
,16755,"""","""",60L4,EDT-Workshop 4,,3,Ali,20,M,1:05 PM,3:55 PM,,
1,17527,"""","""",60L5,EDT-Workshop 5,,3,Ali,20,F,9:00 AM,11:50 AM,,
,17527,"""","""",60L6,EDT-Workshop 6,,3,Ali,20,M,9:00 AM,11:50 AM,,
2,16757,MECE,110,600,Thermodynamics I,3,3,Samaha,30,TR,12:00 PM,1:20 PM,,
,17528,MECE,110,601,Thermodynamics I,3,3,Samaha,30,MW,1:05 PM,2:25 PM,,
1,16838,MECE,117,600,Intro to Programming for Engnrs,3,2+2,Abdulrahman,30,TR,10:30 AM,11:50 AM,,
,16839,MECE,117,601,Intro to Programming for Engnrs,3,2+2,Abdulrahman,30,TR,3:00 PM,4:20 PM,,
1,17529,MECE,117,602,Intro to Programming for Engnrs,3,2+2,Abdulrahman,30,MW,2:35 PM,4:25 PM,,
,16903,MECE,205,600,Dynamics,3,3,TBD,30,MW,2:35 PM,3:55 PM,,
4,16758,MECE,301,600,Engineering Applications Lab/ Lecture,2,2,Kahwaji,15,T,9:00 AM,9:55 AM,,
,16760,"""","""",60L1,Engineering Applications Lab/ Lab,,2,Kahwaji,15,T,10:00 AM,11:50 AM,,
4,16759,MECE,301,601,Engineering Applications Lab/ Lecture,2,2,Kahwaji,15,R,1:30 PM,2:25 PM,,
,16761,"""","""",60L2,Engineering Applications Lab/ Lab,,2,Kahwaji,15,R,2:30 PM,4:20 PM,,
,16762,MECE,305,600,Materials Science + Apps ,3,3,"Pervaiz
",30,TR,10:30 AM,11:50 AM,,
,16763,MECE,306,601,Materials Science Lab,1,2,Ali,15,W,9:00 AM,10:50 AM,,
3,16764,MECE,306,602,Materials Science Lab,1,2,Ali,15,T,12:00 PM,1:50 PM,,
4,16765,MECE,310,600,Heat Transfer,3,3,Khalid Ismail,30,MW,1:05 PM,2:25 PM,,
4,16840,MECE,317,600,Numerical Methods,3,3,Abdel Samad,30,MW,4:05 PM,5:25 PM,,
5,16766,MECE,320,600,System Dynamics,3,2,Abdel Samad,30,T,3:30 PM,5:20 PM,,
,16766,"""","""","""",System Dynamics Lab,,2,Abdel Samad,30,R,3:30 PM,5:20 PM,,
4/5,16768,MECE,348,600,Contemp Issues in E & E,3,3,Lopez,30,T,6:00 PM,8:50 PM,,
ExtCore,16769,MECE,350,600,Strengths II,3,3,Salman,30,TR,4:30 PM,5:50 PM,,
ExtCore,16818,MECE,355,600,Fluids II,3,3,Samaha,30,TR,3:00 PM,4:20 PM,,
5,16804,MECE,497,600,Senior Design I,3,3,Lopez,30,R,2:35 PM,5:25 PM,,
5,16852,MECE,498,600,Senior Design II,3,3,Ali,30,T,9:00 AM,11:50 AM,,
,16771,MECE,499,600,Coop,0,N/A,Abdel Samad,N/A,TBD,TBD,TBD,,
,16772,MECE,499,601,Coop,0,N/A,Abdulrahman,N/A,TBD,TBD,TBD,,
,16773,MECE,499,602,Coop,0,N/A,Samaha,N/A,TBD,TBD,TBD,,
,16774,MECE,499,603,Coop,0,N/A,Pervaiz,N/A,TBD,TBD,TBD,,
"Appld, EE/IE PE B",16806,MECE,529,600,Renewable Energy Systems,3,3,Kahwaji,15,T,6:00 PM,8:50 PM,,
,17530,MECE ,543,600,Classic Controls,3,3,Abdulla Ismail,TBD,TBD,TBD,TBD,,
"Appld, Auto Option",16854,MECE,570,600,Manufacturing Processes & Eng.,3,3,Pervaiz,15,W,6:00 PM,8:50 PM,,
,,,,,ME/MS MECHANICAL ENGINEERING,,,,,,,,,
Sust,16807,MECE,629,600,Renewable Energy Systems,3,3,Kahwaji,15,T,6:00 PM,8:50 PM,,
Elctv,16855,MECE,670,600,Manufacturing Processes & Eng.,3,3,Pervaiz,15,W,6:00 PM,8:50 PM,,
Core,16808,MECE,707,600,Engineering Analysis,3,3,Tlili,15,M,6:00 PM,8:50 PM,,
Thfl,17055,MECE,731,600,CFD,3,3,Samaha,30,W,6:00 PM,8:50 PM,,
Sust,16895,MECE,733,600,Sustainable Energy Management,3,3,Lopez,30,R,6:00 PM,8:50 PM,,
,16992,MECE,790,600,Thesis,1-6,N/A,TBD,N/A,Registration by approval,,,,
,16775,MECE,792,600,Project with Paper,3,N/A,TBD,N/A,Registration by approval,,,,
,17019,MECE,795,600,Graduate Seminar,0,N/A,TBD,N/A,Registration by approval,,,,
,,,,,COMPUTING,,,,,,,,,
,16981,GCIS,123,600,Software Dev & ProbSolv_I,4,6,TBD,30,MWF,9:00 AM,11:00 AM,,
,16982,GCIS,123,601,Software Dev & ProbSolv_I,4,6,Akpinar,30,TR,9:00 AM,11:50 AM,,
,16988,GCIS,123,602,Software Dev & ProbSolv_I,4,6,Abdul-Latif,30,TR,1:30 PM,4:20 PM,,
,16989,GCIS,123,603,Software Dev & ProbSolv_I,4,6,Abdul-Latif,30,MW,1:05 PM,3:55 PM,,
,17005,GCIS,123,604,Software Dev & ProbSolv_I,4,6,Ben Othman,30,TR,12:30 PM,3:20 PM,,
,17107,GCIS,124,600,Software Dev & ProbSolv_II,4,6,TBD,30,MWF,9:00 AM,11:00 AM,,
,17521,GCIS,124,601,Software Dev & ProbSolv_II,4,6,TBD,30,TR,9:00 AM,11:50 AM,,
CSEC 3/CIT 2,17533,ISTE,230,600,Intro to Database,3,3,TBD,30,TR,3:00 PM,4:20 PM,,
CSEC 3/CIT 2,17534,ISTE,230,601,Intro to Database,3,3,TBD,30,MW,1:05 PM,2:25 PM,,
2,16843,NSSA,221,600,Systems Administration I,3,2,Raza,25,TR,9:00 AM,11:00 AM,,
,16844,NSSA,221L,60L1,Systems Administration I Lab,,2,Osama Abdulrahman,25,TR,9:00 AM,11:00 AM,,
fgv,16956,NSSA,221,601,Systems Administration I,3,2,Raza,25,MW,1:05 PM,3:05 PM,,
,16957,NSSA,221L,60L2,Systems Administration I Lab,,2,Osama Abdulrahman,25,MW,1:05 PM,3:05 PM,,
2,17548,NSSA,221,602,Systems Administration I,3,2,Raza,25,TR,9:00 AM,11:00 AM,,
,17549,NSSA,221L,60L3,Systems Administration I Lab,,2,Osama Abdulrahman,25,TR,9:00 AM,11:00 AM,,
2,16799,NSSA,241,600,Intro Routing & Switching,3,2,Raza,25,W,9:00 AM,11:00 AM,,
,16800,NSSA,241,60L1,Intro Routing & Switching Lab,,2,Osama Abdulrahman,25,M,9:00 AM,11:00 AM,,
2,16958,NSSA,241,601,Intro Routing & Switching,3,2,Saadeh,25,T,1:30 PM,3:30 PM,,
